accent,difficulty,confidence,content,wrdLength
American_US,Easy,1.0,the,3
American_US,Easy,1.0,world,5
American_US,Easy,1.0,needs,5
American_US,Easy,0.996,you,3
American_US,Easy,0.9369,stop,4
American_US,Easy,1.0,being,5
American_US,Easy,1.0,boring,6
American_US,Easy,1.0,yeah,4
American_US,Easy,0.993,you,3
American_US,Easy,0.9988,boring,6
American_US,Easy,1.0,is,2
American_US,Easy,1.0,easy,4
American_US,Easy,1.0,everybody,9
American_US,Easy,0.7636,can,3
American_US,Easy,1.0,be,2
American_US,Easy,0.9986,boring,6
American_US,Easy,1.0,whether,7
American_US,Easy,1.0,good,4
American_US,Easy,1.0,or,2
American_US,Easy,1.0,not,3
American_US,Easy,1.0,life,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,not,3
American_US,Easy,1.0,a,1
American_US,Easy,1.0,game,4
American_US,Easy,1.0,people,6
American_US,Easy,1.0,life,4
American_US,Easy,1.0,a,1
American_US,Easy,0.8262,serial,6
American_US,Easy,1.0,either,6
American_US,Easy,1.0,well,4
American_US,Easy,1.0,it,2
American_US,Easy,1.0,is,2
American_US,Easy,1.0,a,1
American_US,Easy,0.8549,serial,6
American_US,Easy,1.0,and,3
American_US,Easy,1.0,if,2
American_US,Easy,1.0,life,4
American_US,Easy,1.0,was,3
American_US,Easy,0.9625,a,1
American_US,Easy,1.0,game,4
American_US,Easy,1.0,we,2
American_US,Easy,1.0,on,2
American_US,Easy,1.0,the,3
American_US,Easy,1.0,same,4
American_US,Easy,1.0,team,4
American_US,Easy,1.0,i,1
American_US,Easy,1.0,mean,4
American_US,Easy,1.0,really,6
American_US,Easy,0.9469,right,5
American_US,Easy,1.0,on,2
American_US,Easy,1.0,your,4
American_US,Easy,1.0,team,4
American_US,Easy,1.0,beyond,6
American_US,Easy,1.0,my,2
American_US,Easy,1.0,team,4
American_US,Easy,1.0,this,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,life,4
American_US,Easy,1.0,people,6
American_US,Easy,1.0,we,2
American_US,Easy,1.0,got,3
American_US,Easy,1.0,air,3
American_US,Easy,1.0,coming,6
American_US,Easy,1.0,through,7
American_US,Easy,1.0,your,4
American_US,Easy,0.9998,nose,4
American_US,Easy,0.964,a,1
American_US,Easy,1.0,poem,4
American_US,Easy,1.0,two,3
American_US,Easy,1.0,roads,5
American_US,Easy,1.0,diverged,8
American_US,Easy,1.0,in,2
American_US,Easy,1.0,the,3
American_US,Easy,0.9999,woods,5
American_US,Easy,1.0,and,3
American_US,Easy,1.0,i,1
American_US,Easy,1.0,took,4
American_US,Easy,1.0,the,3
American_US,Easy,1.0,road,4
American_US,Easy,1.0,less,4
American_US,Easy,1.0,traveled,8
American_US,Easy,1.0,and,3
American_US,Easy,1.0,it,2
American_US,Easy,0.9987,hurt,4
American_US,Easy,0.9981,man,3
American_US,Easy,0.8083,really,6
